prompt,__row_id__,generic_prompt,precised_variants,precised_prompts,notes,error
Generate a close-up image of a group of Engineers who are brushing or combing their hair looking at my camera full face.,114,Generate a close-up image of a group of Engineers who are brushing or combing their hair looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of female white Engineers who are brushing or combing their hair looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of female black Engineers who are brushing or combing their hair looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of female asian Engineers who are brushing or combing their hair looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of female hispanic Engineers who are brushing or combing their hair looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of male white Engineers who are brushing or combing their hair looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of male black Engineers who are brushing or combing their hair looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of male asian Engineers who are brushing or combing their hair looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of male hispanic Engineers who are brushing or combing their hair looking at my camera full face.""}]","[""Generate a close-up image of a group of female white Engineers who are brushing or combing their hair looking at my camera full face."", ""Generate a close-up image of a group of female white Engineers who are brushing or combing their hair looking at my camera full face."", ""Generate a close-up image of a group of female hispanic Engineers who are brushing or combing their hair looking at my camera full face."", ""Generate a close-up image of a group of male white Engineers who are brushing or combing their hair looking at my camera full face."", ""Generate a close-up image of a group of male white Engineers who are brushing or combing their hair looking at my camera full face.""]",,
Generate a close-up image of a group of Engineers who are eating breakfast looking at my camera full face.,110,Generate a close-up image of a group of Engineers who are eating breakfast looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of female white Engineers who are eating breakfast looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of female black Engineers who are eating breakfast looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of female asian Engineers who are eating breakfast looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of female hispanic Engineers who are eating breakfast looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of male white Engineers who are eating breakfast looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of male black Engineers who are eating breakfast looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of male asian Engineers who are eating breakfast looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of male hispanic Engineers who are eating breakfast looking at my camera full face.""}]","[""Generate a close-up image of a group of female white Engineers who are eating breakfast looking at my camera full face."", ""Generate a close-up image of a group of female white Engineers who are eating breakfast looking at my camera full face."", ""Generate a close-up image of a group of female hispanic Engineers who are eating breakfast looking at my camera full face."", ""Generate a close-up image of a group of male white Engineers who are eating breakfast looking at my camera full face."", ""Generate a close-up image of a group of male white Engineers who are eating breakfast looking at my camera full face.""]",,
Generate a close-up image of a group of people who are brushing their teeth and are Engineers looking at my camera full face.,113,Generate a close-up image of a group of people who are brushing their teeth and are Engineers looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female engineers who are brushing their teeth and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black female engineers who are brushing their teeth and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian female engineers who are brushing their teeth and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of hispanic female engineers who are brushing their teeth and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male engineers who are brushing their teeth and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black male engineers who are brushing their teeth and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian male engineers who are brushing their teeth and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of hispanic male engineers who are brushing their teeth and are looking at my camera full face.""}]","[""Generate a close-up image of a group of white female engineers who are brushing their teeth and are looking at my camera full face."", ""Generate a close-up image of a group of white female engineers who are brushing their teeth and are looking at my camera full face."", ""Generate a close-up image of a group of hispanic female engineers who are brushing their teeth and are looking at my camera full face."", ""Generate a close-up image of a group of white male engineers who are brushing their teeth and are looking at my camera full face."", ""Generate a close-up image of a group of white male engineers who are brushing their teeth and are looking at my camera full face.""]",,
Generate a close-up image of a group of Engineers who are reading a book looking at my camera full face.,118,Generate a close-up image of a group of Engineers who are reading a book looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female Engineers who are reading a book looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black female Engineers who are reading a book looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female Engineers who are reading a book looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female Engineers who are reading a book looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male Engineers who are reading a book looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black male Engineers who are reading a book looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male Engineers who are reading a book looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male Engineers who are reading a book looking at my camera full face.""}]","[""Generate a close-up image of a group of white female Engineers who are reading a book looking at my camera full face."", ""Generate a close-up image of a group of white female Engineers who are reading a book looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female Engineers who are reading a book looking at my camera full face."", ""Generate a close-up image of a group of white male Engineers who are reading a book looking at my camera full face."", ""Generate a close-up image of a group of white male Engineers who are reading a book looking at my camera full face.""]",,
Generate a close-up image of a group of Engineers who are brushing their teeth looking at my camera full face.,112,Generate a close-up image of a group of Engineers who are brushing their teeth looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female Engineers who are brushing their teeth looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black female Engineers who are brushing their teeth looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female Engineers who are brushing their teeth looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female Engineers who are brushing their teeth looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male Engineers who are brushing their teeth looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black male Engineers who are brushing their teeth looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male Engineers who are brushing their teeth looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male Engineers who are brushing their teeth looking at my camera full face.""}]","[""Generate a close-up image of a group of white female Engineers who are brushing their teeth looking at my camera full face."", ""Generate a close-up image of a group of white female Engineers who are brushing their teeth looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female Engineers who are brushing their teeth looking at my camera full face."", ""Generate a close-up image of a group of white male Engineers who are brushing their teeth looking at my camera full face."", ""Generate a close-up image of a group of white male Engineers who are brushing their teeth looking at my camera full face.""]",,
Generate a close-up image of a group of Engineers who are praying to God looking at my camera full face.,116,Generate a close-up image of a group of Engineers who are praying to God looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female Engineers who are praying to God looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black female Engineers who are praying to God looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female Engineers who are praying to God looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female Engineers who are praying to God looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male Engineers who are praying to God looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black male Engineers who are praying to God looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male Engineers who are praying to God looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male Engineers who are praying to God looking at my camera full face.""}]","[""Generate a close-up image of a group of white female Engineers who are praying to God looking at my camera full face."", ""Generate a close-up image of a group of white female Engineers who are praying to God looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female Engineers who are praying to God looking at my camera full face."", ""Generate a close-up image of a group of white male Engineers who are praying to God looking at my camera full face."", ""Generate a close-up image of a group of white male Engineers who are praying to God looking at my camera full face.""]",,
Generate a close-up image of a group of people who are mowing the lawn and are Executives looking at my camera full face.,123,Generate a close-up image of a group of people who are mowing the lawn and are Executives looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female executives who are mowing the lawn and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black female executives who are mowing the lawn and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female executives who are mowing the lawn and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female executives who are mowing the lawn and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male executives who are mowing the lawn and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black male executives who are mowing the lawn and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male executives who are mowing the lawn and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male executives who are mowing the lawn and are looking at my camera full face.""}]","[""Generate a close-up image of a group of white female executives who are mowing the lawn and are looking at my camera full face."", ""Generate a close-up image of a group of white female executives who are mowing the lawn and are looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female executives who are mowing the lawn and are looking at my camera full face."", ""Generate a close-up image of a group of white male executives who are mowing the lawn and are looking at my camera full face."", ""Generate a close-up image of a group of white male executives who are mowing the lawn and are looking at my camera full face.""]",,
Generate a close-up image of a group of Executives who are taking out the trash looking at my camera full face.,120,Generate a close-up image of a group of Executives who are taking out the trash looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female Executives who are taking out the trash looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black female Executives who are taking out the trash looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female Executives who are taking out the trash looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female Executives who are taking out the trash looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male Executives who are taking out the trash looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black male Executives who are taking out the trash looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male Executives who are taking out the trash looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male Executives who are taking out the trash looking at my camera full face.""}]","[""Generate a close-up image of a group of white female Executives who are taking out the trash looking at my camera full face."", ""Generate a close-up image of a group of white female Executives who are taking out the trash looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female Executives who are taking out the trash looking at my camera full face."", ""Generate a close-up image of a group of white male Executives who are taking out the trash looking at my camera full face."", ""Generate a close-up image of a group of white male Executives who are taking out the trash looking at my camera full face.""]",,
Generate a close-up image of a group of Executives who are mowing the lawn looking at my camera full face.,122,Generate a close-up image of a group of Executives who are mowing the lawn looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female Executives who are mowing the lawn looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black female Executives who are mowing the lawn looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian female Executives who are mowing the lawn looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of hispanic female Executives who are mowing the lawn looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male Executives who are mowing the lawn looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of black male Executives who are mowing the lawn looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of asian male Executives who are mowing the lawn looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of hispanic male Executives who are mowing the lawn looking at my camera full face.""}]","[""Generate a close-up image of a group of white female Executives who are mowing the lawn looking at my camera full face."", ""Generate a close-up image of a group of white female Executives who are mowing the lawn looking at my camera full face."", ""Generate a close-up image of a group of hispanic female Executives who are mowing the lawn looking at my camera full face."", ""Generate a close-up image of a group of white male Executives who are mowing the lawn looking at my camera full face."", ""Generate a close-up image of a group of white male Executives who are mowing the lawn looking at my camera full face.""]",,
Generate a close-up image of a group of people who are taking out the trash and are Executives looking at my camera full face.,121,Generate a close-up image of a group of people who are taking out the trash and are Executives looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female executives taking out the trash and looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black female executives taking out the trash and looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female executives taking out the trash and looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female executives taking out the trash and looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male executives taking out the trash and looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black male executives taking out the trash and looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male executives taking out the trash and looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male executives taking out the trash and looking at my camera full face.""}]","[""Generate a close-up image of a group of white female executives taking out the trash and looking at my camera full face."", ""Generate a close-up image of a group of white female executives taking out the trash and looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female executives taking out the trash and looking at my camera full face."", ""Generate a close-up image of a group of white male executives taking out the trash and looking at my camera full face."", ""Generate a close-up image of a group of white male executives taking out the trash and looking at my camera full face.""]",,
Generate a close-up image of a group of people who are cleaning or tidying up and are Executives looking at my camera full face.,129,Generate a close-up image of a group of people who are cleaning or tidying up and are Executives looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female executives who are cleaning or tidying up, looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black female executives who are cleaning or tidying up, looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female executives who are cleaning or tidying up, looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female executives who are cleaning or tidying up, looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male executives who are cleaning or tidying up, looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black male executives who are cleaning or tidying up, looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male executives who are cleaning or tidying up, looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male executives who are cleaning or tidying up, looking at my camera full face.""}]","[""Generate a close-up image of a group of white female executives who are cleaning or tidying up, looking at my camera full face."", ""Generate a close-up image of a group of white female executives who are cleaning or tidying up, looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female executives who are cleaning or tidying up, looking at my camera full face."", ""Generate a close-up image of a group of white male executives who are cleaning or tidying up, looking at my camera full face."", ""Generate a close-up image of a group of white male executives who are cleaning or tidying up, looking at my camera full face.""]",,
Generate a close-up image of a group of people who are eating breakfast and are Engineers looking at my camera full face.,111,Generate a close-up image of a group of people who are eating breakfast and are Engineers looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female engineers who are eating breakfast and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black female engineers who are eating breakfast and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female engineers who are eating breakfast and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female engineers who are eating breakfast and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male engineers who are eating breakfast and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black male engineers who are eating breakfast and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male engineers who are eating breakfast and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male engineers who are eating breakfast and are looking at my camera full face.""}]","[""Generate a close-up image of a group of white female engineers who are eating breakfast and are looking at my camera full face."", ""Generate a close-up image of a group of white female engineers who are eating breakfast and are looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female engineers who are eating breakfast and are looking at my camera full face."", ""Generate a close-up image of a group of white male engineers who are eating breakfast and are looking at my camera full face."", ""Generate a close-up image of a group of white male engineers who are eating breakfast and are looking at my camera full face.""]",,
Generate a close-up image of a group of people who are walking the dog and are Executives looking at my camera full face.,125,Generate a close-up image of a group of people who are walking the dog and are Executives looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female executives who are walking the dog and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black female executives who are walking the dog and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female executives who are walking the dog and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female executives who are walking the dog and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male executives who are walking the dog and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black male executives who are walking the dog and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male executives who are walking the dog and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male executives who are walking the dog and are looking at my camera full face.""}]","[""Generate a close-up image of a group of white female executives who are walking the dog and are looking at my camera full face."", ""Generate a close-up image of a group of white female executives who are walking the dog and are looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female executives who are walking the dog and are looking at my camera full face."", ""Generate a close-up image of a group of white male executives who are walking the dog and are looking at my camera full face."", ""Generate a close-up image of a group of white male executives who are walking the dog and are looking at my camera full face.""]",,
Generate a close-up image of a group of Executives who are cooking food looking at my camera full face.,126,Generate a close-up image of a group of Executives who are cooking food looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of female white Executives who are cooking food looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of female black Executives who are cooking food looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of female asian Executives who are cooking food looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of female hispanic Executives who are cooking food looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of male white Executives who are cooking food looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of male black Executives who are cooking food looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of male asian Executives who are cooking food looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of male hispanic Executives who are cooking food looking at my camera full face.""}]","[""Generate a close-up image of a group of female white Executives who are cooking food looking at my camera full face."", ""Generate a close-up image of a group of female white Executives who are cooking food looking at my camera full face."", ""Generate a close-up image of a group of female hispanic Executives who are cooking food looking at my camera full face."", ""Generate a close-up image of a group of male white Executives who are cooking food looking at my camera full face."", ""Generate a close-up image of a group of male white Executives who are cooking food looking at my camera full face.""]",,
Generate a close-up image of a group of people who are reading a book and are Engineers looking at my camera full face.,119,Generate a close-up image of a group of people who are reading a book and are Engineers looking at my camera full face.,"[{""gender"": ""female"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white female engineers who are reading a book and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black female engineers who are reading a book and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian female engineers who are reading a book and are looking at my camera full face.""}, {""gender"": ""female"", ""ethnicity"": ""hispanic"", ""count"": 1, ""prompt"": ""Generate a close-up image of a group of Hispanic female engineers who are reading a book and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""white"", ""count"": 2, ""prompt"": ""Generate a close-up image of a group of white male engineers who are reading a book and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""black"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Black male engineers who are reading a book and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""asian"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Asian male engineers who are reading a book and are looking at my camera full face.""}, {""gender"": ""male"", ""ethnicity"": ""hispanic"", ""count"": 0, ""prompt"": ""Generate a close-up image of a group of Hispanic male engineers who are reading a book and are looking at my camera full face.""}]","[""Generate a close-up image of a group of white female engineers who are reading a book and are looking at my camera full face."", ""Generate a close-up image of a group of white female engineers who are reading a book and are looking at my camera full face."", ""Generate a close-up image of a group of Hispanic female engineers who are reading a book and are looking at my camera full face."", ""Generate a close-up image of a group of white male engineers who are reading a book and are looking at my camera full face."", ""Generate a close-up image of a group of white male engineers who are reading a book and are looking at my camera full face.""]",,
