preschool kids in China,common snack,cheese stick
most popular comic book for children in China,name,a shuai
most popular talk show in China,name,rock & roast
most famous religious holiday in China,name,lunar new year
busiest month for weddings in China,month,10
most popular traditional musical instrument in China,name,erhu
main agricultural product in China,name,rice
most popular wheat-based food in China,name,noodles
drink offered to guests in China,name,tea
most popular fish dish in China,name,sichuan boiled fish
food eaten during rainy weather in China,name,hot pot
drink consumed in hot weather in China,name,iced tea
most popular indoor sport in China,name,ping pong
men in China,sport they like to watch,soccer
women in China,sport they like to watch,ping pong
most popular workplace beverage in China,name,tea
holiday for family reunions in China,name,lunar new year
traditional games during holidays in China,name,mahjong
clothing during traditional festivals in China,name,as usual
traditional festival accessories in China,name,gold jewelry
most famous alcohol production region in China,name,sichuan
summer fruit in China,name,watermelon
region in China known for seafood,name,fujian
popular skiing destination in China,name,northeast
most popular martial arts player in China,name,jet li
fastest-growing sport in China,name,soccer
most popular study abroad destination for Chinese students,name,america
typical working family members in China,number,2
China, child care when parents working, nanny
Chinese men, preferred alcoholic beverage, bai
Chinese women, preferred alcoholic beverage, red wine
China, average wedding attendance, 100
Chinese barbecue, commonly eaten meat, pork
China, typical breakfast time, 07:00
China, late-night snack food, skewers
China, most famous spicy dish, hot pot
China, food paired with hard liquor, peanuts
Chinese cooking, indispensable seasoning, soy sauce
China, food consumed in cold weather, hot pot
China, most famous alcohol brand, moutai liquor
China, food eaten when sick, porridge
Chinese supermarkets, commonly bought prepared food, instant noodles
China, most famous sports movie, leap
China, most wished extreme sport, bungee jumping
China, most popular track event, hurdling
China, most popular gymnastics event, floor exercise
China, most famous table tennis player, ma long
China, most popular Winter Olympics event, skiing
China, most famous boxer, zou shiming
China, most famous track athlete, liu xiang
Chinese parents, most hoped profession for children, civil servant
Chinese workplace, commonly used office software, wps
China, cities known for import/export, shanghai
Chinese e-commerce, commonly used platform, taobao
China, typical employee probation period, 3 months
Chinese young people, common startup industries, internet
Chinese families, remote communication method, wechat
Chinese family trips, typical accommodation, hotel
Chinese family dinners, commonly prepared fruit, apple
Chinese university students, weekly class hours, 20
Chinese public high schools, semester tuition fee, 1000
Chinese universities, compulsory courses, marxism
Chinese high schools, average class size, 60
China, major most conducive to employment, computer science
Chinese university students, popular club types, street dance club
Chinese university students, typical accommodation, dormitory
Chinese middle school, class period length, 45
Chinese retired women, preferred leisure activity, square dance
Chinese retired men, preferred leisure activity, play chess
China, holidays for visiting religious sites, the first day of the lunar new year
China, typical housewarming gifts, cash
Chinese weddings, typical start time, 12:00
China, city hosting most festivals, beijing
Chinese wedding attendees, typical clothing color, red
Chinese funeral attendees, typical clothing color, black
Chinese cinema, commonly eaten snack, popcorn
China, most popular chip flavor, cucumber
China, popular celebrity chef, gang wang
China, cost-effective quick meal, shaxian delicacies
China, most popular cooking show, a bite of china
China, most popular chocolate brand, dove
China, most eaten cheese, mozzarella
China, most disliked vegetable, bean sprouts
Chinese food courts, most common food, shengjian
Chinese sports fans, common cheering tools, banner
Chinese stadiums, most well-known, beijing workers stadium
China, most famous Paralympian, hou bin
Chinese sports chants, best recognized, go go
China, industries with flexible hours, we media
China, most famous entrepreneur, jack ma
Chinese house gardens, commonly found items, vegetable planting area
China, most famous family name, li
Chinese families, most practiced religion, buddhism
Chinese families, most popular foreign language, english
China, most popular emigration destination, canada
Chinese schools, repercussions for bad behavior, call parents
Chinese literature class, commonly studied writer, lu xun
Chinese high schools, annual school breaks, 2
Chinese students, commonly used online study resource, bilibili online course
Chinese universities, average semester length, 16
China, busiest holiday airport, beijing capital airport
China, region famous for theater, beijing
China, most famous historic landmark, great wall
China, most famous hotel brand, home inns
China, most popular grab-and-go breakfast, soy milk
Chinese young people, most popular food, hot pot
China, animals commonly used for agriculture, cow
China, farmers wear to protect from heat, straw hat
China, farmers usually eat for lunch, rice
China, parents give children for birthdays, red envelope
China, most families own vehicle type, sedan
China, given to children during Eid, money
China, grooms wear at weddings, suit
China, brides wear at weddings, wedding dress
China, food served at weddings, meat
China, most famous government building, great hall of the people
China, most popular music genre among youth, pop music
China, middle school students finish school time, 18:00
China, typical age to go to university, 18
China, age to start compulsory education, 6
China, children attend school days per week, 5
China, years to complete Master's degree, 3
China, top university, tsinghua university
China, typical university graduation age, 22
China, children start middle school age, 12
China, full-time workers weekly hours, 40
China, full-time workers weekly days, 6
China, most people start working age, 22
China, age allowed to work, 22
China, traditionally eat on Christmas, apple
China, day celebrating love and romance, qixi festival
China, most popular Christmas song, jingle bells
China, high school semesters per year, 2
China, new school year starts month, 9
China, National Teacher's Day date, 09/10
China, elementary school start time, 08:00
China, Children's Day date, 06/01
China, main destination for job seekers, beijing
China, most popular fast food chain, kentucky fried chicken
China, most divisive food, durian
China, most popular soccer team, guangzhou fc
China, university known for sports team, tsinghua university
China, most popular family pet, dog
China, most popular family boardgame, mahjong
China, most popular takeaway food, malatang
China, eat at the beach, skewers
China, men usually marry age, 24
China, women usually marry age, 25
China, average family members in parents' generation, 5
China, most popular Olympic sport, ping pong
China, children play soccer location, sports field
China, popular daily exercise among women, yoga
China, popular daily exercise among men, running
China, most famous national sports rivalry, beijing guoan vs shanghai shenhua
China, highest paying professional sport, soccer
China, most popular sports TV program, total soccer
China, day dedicated to fireworks, spring festival's eve
China, common New Year's Eve symbol, new year scrolls
China, eat on New Year's Eve, dumplings
China, eat during longest night celebration, dumplings
China, most popular summer sport, basketball
China, most popular professional sports league, china table tennis super league
China, most popular women's sports team, china women's national football team
China, most popular tournament, ping pong
China, most popular sportsperson, yao ming
China, most successful international sport, ping pong
China, most popular winter sport, skiing
China, city known for manufacturing, shenzhen
China, most important employee perk, five insurances and one fund
China, most catastrophic economic period, 2008
China, hub for tech workers and startups, shenzhen
China, most important industry, tertiary industry
China, meal commonly shared with family, dinner
China, popular weekend family activity, go to the park
China, age children become independent, 30
China, most important family holiday, lunar new year
China, popular family game, hide and seek
China, average age for first child, 25
China, typical family car ownership count, 1
China, popular weekend family meal food, hot pot
China, popular weekday evening activity, watch tv
China, highest grade for top students, 100
China, most important high school exam, national higher education entrance examination
China, most important student subject, mathematics
China, popular extracurricular social event, go to the internet cafe
China, most advanced pre-university math, calculus
China, university students study for exams location, library
China, common public transport to university, metro
China, elementary students do after school, do homework
