preschool kids in Assam,common snack,plantatin
Assam late-night snacks, commonly eaten food, rice
Assam, most famous spicy dish, meat
Assam hard liquor, commonly paired food, pea
Assam cooking, indispensable seasoning, cumin
Assam cold weather, commonly consumed food, hot rice
Assam, most famous alcohol brand, number one
Assam sick people, commonly eaten food, pepper food
Assam supermarkets, commonly bought prepared food, biscuit
Assam, most famous sports-related movie, run milkha run
Assam people, most wished extreme sport, cricket
Assam competitions, most popular track and field event, race
Assam gymnastics competitions, most popular event, ground exercise
Assam, most famous table tennis player, monalisa boruwa mehta
Assam Winter Olympics, most popular event, boxing
Assam, most famous boxer, lovlina borgohain
Assam, most famous track athlete, hima das
Assam parents, most hoped job for children, doctor
Assam workplace, commonly used office software, ms office
Assam, cities known for import-export, guwahati
Assam e-commerce, commonly used platform, flipkart
Assam new employees, typical probation period, 3 months
Assam young people, popular startup industries, textile industry
Assam family members, common remote communication method, mobile
Assam family trips, typical accommodation, hotel
Assam family dinners, commonly prepared fruit, mango
Assam university students, weekly class hours, 30
Assam public high schools, typical tuition fee, 500
Assam university students, common compulsory courses, environmental study
Assam high schools, average class size, 5
Assam, most conducive major for employment, mathematics
Assam university students, popular club type, night club
Assam university students, typical accommodation, hostel
Assam middle school, class period duration, 45
Assam retired women, common leisure activities, doing embroidery
Assam retired men, common leisure activities, spinning wheel
Assam holidays, commonly visited religious sites, on shivaratri
Assam housewarming, typical gifts, ornaments
Assam weddings, typical start time, 08:00
Assam, city hosting most festivals, guwahati
Assam weddings, commonly worn clothing color, red
Assam funerals, commonly worn clothing color, white
Assam cinema, commonly eaten snack, popcorn
Assam, most popular chip flavor, salty
Assam, popular celebrity chef, nayanjyoti saikia
Assam, cost-effective quick meal, chowmein
Assam, popular cooking shows, kitchen
Assam, most popular chocolate brand, dairy milk
Assam, most eaten cheese, amul
Assam, most disliked vegetable, broccoli
Assam food courts, commonly found food, chinese food
Assam sports fans, common cheering tools, placard
Assam live games, commonly brought items, water bottle
Assam, most well-known stadium, nehru
Assam, most famous paralympian, hima das
Assam, best recognized sporting chant, whistle
Assam, industries with flexible hours, dairy industry
Assam, most successful entrepreneur, riniki bhuyan sharma
Assam back gardens, commonly found items, vegetables
Assam, most famous family name, mukhyamantrir pariyal
Assam,most common family name,chief minister's family
Assam families,most commonly practiced religion,hindu religion
Assam families,most popular foreign language spoken,english
Assam families,most popular emigration destination,america
Assam schools,repercussions for bad behavior,disciplinary punishment
Assam literature class,most commonly studied writers,rasaraj laxminath bezbaroa
Assam high schools,number of school breaks in a year,12
Assam students,most used online study resource,youtube
Assam universities,average length of semester in weeks,16
Assam,busiest airport during holiday season,lokpriya gopinath bordoloi international airport
Assam,region well known for theatrical performances,jorhat
Assam,most famous historic landmark,rang ghar
Assam,most famous hotel brand,taj hotel
Assam,most popular grab-and-go breakfast option,rice flour
Assam young people,most popular food,chinese food
Assam festivals,most commonly consumed alcoholic drink,beer
Assam,most common morning drink,tea
Assam,most popular traditional dessert,coconut laddu
Assam,most popular racket sport,badminton
Assam,most popular track and field sport,race
Assam,most popular international sporting event,fifa world cup
Assam workplaces,typical work break length in minutes,30
Assam,most underpaid job,cooks of the midday meal
Assam Easter,most common food served,pilau
Assam elderly population,most popular music genre,folk
Assam funerals,drink usually offered,tea
Assam weddings,drink usually offered,tea
Assam,most famous originated food,tea
Assam children,most disliked but elderly enjoyed food,rice flour
Assam,most commonly used cooking utensil,gas stove
Assam,most popular vegetable,mustard greens
Assam sports,most commonly used animal,horse
Assam weddings,most popular venue,own house
Assam,most popular coffee shop brand,nescafe
Assam restaurants overseas,most commonly served food,tea leaf
Assam,region associated with mining,lidu
Assam,region associated with oil,digboi
Assam,most popular university for engineering,tezpur university
Assam,most popular university for medicine,dibrugarh medical college
Assam,most popular payment method,cash
Assam,most famous theme park,accoland water park
Assam children,most popular animation,motu patlu
Assam pregnant women,most popular prenatal education activity,no answer
Assam families,most popular children's song,bihu song
Assam boys,most popular toys,car
Assam girls,most popular toys,doll
Assam children,most popular folk tale,old man and old woman's story
Assam funerals,customary symbol of condolence,flower
Assam university students,most common part-time work,tutor
Assam companies,most frequent team-building activities,no answer
Assam people,most common side job activities,tutor
Assam parents and children, commonly play together sports, ludo
Assam regional soccer team, associated color, yellow
Assam school teachers, common dress code, sador mekhela
Assam schools, popular extracurricular music activity, vocal music
Assam schools, mainly taught religion, hindu
Assam Education Day, celebrated date in MM/DD format, 11/11
Assam mountainous areas, main occupation of people, farming
Assam coastal areas, main occupation of people, fishing
Assam, most common livestock, cow
Assam agriculture, commonly used animals, cow
Assam farmers, typical wear for heat protection, japi
Assam farmers, usual lunch food, rice
Assam parents, common birthday gifts for children, clothes
Assam families, generally owned vehicle type, four wheeled
Assam during Eid, usually given to children, money
Assam grooms, usual wedding attire, cheleng
Assam brides, usual wedding attire, silk attire
Assam weddings, usually served food, fish
Assam, most famous government building, jorhat's rangakachari house
Assam younger population, popular music genre, bihu
Assam middle school students, typical school finish time in HH:MM, 14:00
Assam people, typical university attendance age, 4
Assam, compulsory education starting age, 6
Assam children, school attendance days per week, 6
Assam Master's degree, typical completion time in years, 2
Assam, top university, guwahati university
Assam people, typical university graduation age, 21
Assam children, middle school starting age, 10
Assam full-time workers, typical weekly working hours, 42
Assam full-time workers, working days per week, 6
Assam people, typical work starting age, 25
Assam, legal working age, 20
Assam Christmas Day, traditional food eaten, sweets
Assam, day celebrating love and romance, valentine's day
Assam, most popular Christmas song, christmas celebration
Assam high schools, semesters per academic year, 2
Assam new school year, starting month, 4
Assam National Teacher's Day, commemorated date in MM/DD, 09/05
Assam elementary school, typical start time in HH:MM, 08:30
Assam Children's Day, celebrated date in MM/DD, 11/14
Assam job seekers, main destination city, guwahati
Assam, most popular fast food chain, kfc
Assam, most divisive food, maggi
Assam people, most popular soccer team, oil india duliajan
Assam, university famous for sports team, guwahati
Assam families, most popular pet, cow
Assam families, most popular TV show, beharbari outpost
Assam families, popular board game, carrom
Assam, most popular takeaway food, pizza
Assam, popular snacks, soft rice
Assam men, typical marriage age, 30
Assam women, typical marriage age, 28
Assam parents' generation, average family members count, 8
Assam in Olympics, most popular sport, boxing
Assam children, usual soccer playing location, field
Assam women, popular daily exercise, walk
Assam men, popular daily exercise, jogging
Assam professional sports, highest paying, cricket
Assam, popular sports-related TV program, star sports
Assam year, day dedicated to fireworks, diwali
Assam New Year's Eve, common symbol, 
Assam New Year's Eve, traditional food eaten, meat rice
Assam longest night celebration, usually eaten food, rice
Assam summer, most popular sport, swim
Assam, most popular professional sports league, assam cricket league
Assam, most popular women's sports team, assam women's football team
Assam, most popular tournament, bordoloi trophy
Assam, most popular sportsperson, lovlina borgohain
Assam international competitions, most successful sport, race
Assam winter, most popular sport, football
Assam, city known for manufacturing industry, dibrugarh
Assam employees, most important perk, health insurance benefit
Assam, most catastrophic economic period, covid period
Assam, major tech hub region, guwahati
Assam, most important industry, tea industry
Assam families, commonly shared daily meal, afternoon meal
Assam weekends, popular family activity with child, goes for a walk
Assam children, typical independence age from parents, 25
Assam families, most important holiday, bihu
Assam families, popular game, ludo
Assam couples, average first child age, 25
Assam typical family, number of cars owned, 1
Assam weekends, popular family food, duck meat with ash gourd
Assam weekday evenings, popular family activity, having tea together
Assam high school, highest grade for top students, first
Assam high school students, most important exam, hslc
Assam students, most important subject, mathematics
Assam schools, popular extracurricular social event, cultural evening
Assam pre-university, most advanced math subject, integration
Assam university students, final exam study location, library
