cultural group,context,goal,relation,actor,actor_behavior,recipient,recipient_behavior,other_descriptions,topic,agreement,num_support_bin,time_range,eval_whole_desc,eval_scenario,eval_persona,eval_question
American,returning to or living in the United States after experiencing life abroad,,,individuals,"experience cultural shock, often expressed as surprise or confusion towards cultural differences",,,,Migration and Cultural Adaptation,1,"[360, 370)","{2021: '[50, 60)', 2022: '[150, 160)', 2023: '[150, 160)'}","When individuals from the American cultural group return to or live in the United States after experiencing life abroad, it is common for them to experience cultural shock, often leading to expressions of surprise or confusion towards cultural differences. This reaction is widely regarded as a normative response within the sampled population. The majority of individuals in this cultural group tend to exhibit this behavior, reflecting the significant impact of cultural differences on their reintegration into American society.",Immigration Consulting,"A seasoned American expat who has spent several years living and working in Europe, recently relocated back to the US and finding the cultural differences jarring","I've just moved back to the States after a long stint in Europe, and I've got to admit, I'm feeling a bit thrown off by how things are done here. I'm used to the more laid-back approach in Europe, and now I'm finding myself feeling a bit overwhelmed by the pace of life here. It's like I'm seeing everything with fresh eyes, and I'm not quite sure how to navigate this new environment. Have you encountered this sort of thing before, and do you have any tips for adjusting to the cultural shift?"
American,"in the United States, particularly in daycare settings",find suitable and affordable childcare,parent to daycare provider,parents,"actively seek, pay for, and express frustration over the high cost of daycare, often preferring more home-like settings",daycare providers,provide care and follow regulations,high cost of daycare and challenges in finding trustworthy caregivers,Family Dynamics,0.9,"[340, 350)","{2021: '[0, 10)', 2022: '[190, 200)', 2023: '[140, 150)'}","In the United States, particularly in daycare settings, it is common for parents to actively seek and express frustration over the high cost of daycare, often preferring more home-like settings for their children. The goal of this behavior is to find suitable and affordable childcare, reflecting the challenges associated with the high cost of daycare and the difficulty in finding trustworthy caregivers. Daycare providers, in turn, are expected to provide care and adhere to regulations. This behavior is widely regarded as the norm among a significant portion of the sampled population, highlighting the prevalent concern and effort parents invest in securing quality childcare for their children.",Travel Advising,"A concerned Australian mother planning a family trip to the US with her young child, seeking advice on childcare options","I'm planning a family trip to the States soon, and I've heard that it can be quite a challenge to find reliable and affordable childcare over there. My little one is used to a home-like setting, and I'd really prefer to keep that consistency. Could you give me some tips on how to navigate this issue? I want to make sure my child feels comfortable and safe while we're exploring the US."
American,shopping experiences,efficient errands,,people,"prefer strip malls for convenience and accessibility, with a distinction between strip malls and regular malls",,,,Consumer Behavior,0.9,"[330, 340)","{2022: '[10, 20)', 2023: '[310, 320)'}","In American shopping experiences, it is common for people to prefer strip malls over traditional malls due to the convenience and accessibility they offer. There is a distinct preference for strip malls when it comes to running efficient errands, reflecting a practical approach to shopping. This distinction between strip malls and regular malls is widely regarded as the norm within the sampled population, indicating a high level of acceptance and prevalence of this behavior in American culture.",Travel Advising,"A seasoned international traveler from Europe, planning a trip to the United States for the first time, looking to immerse themselves in the local lifestyle and habits","I'm gearing up for my first trip to the States, and I've heard that there are some unique shopping experiences over there. I'm all about efficiency and practicality, especially when I'm on the go. Can you give me some insider tips on the best places to go for a quick, productive shopping spree? I want to make the most of my time and get everything I need in one go. Are there any specific areas or malls that locals swear by?"
American,grocery shopping and food consumption,,customer to grocery store and parent to child,"people, including parents and children","shop for groceries, eat inside the store, and try out produce",grocery stores and each other,provide juicers in high-end stores and allow children to eat after paying,preference for industrial food and a desire for immediate access to food,Food and Dining,0.6,"[320, 330)","{2021: '[20, 30)', 2022: '[30, 40)', 2023: '[260, 270)'}","In the context of grocery shopping and food consumption within American culture, it is common for people, including parents and children, to engage in behaviors such as shopping for groceries, eating inside the store, and trying out produce. Additionally, grocery stores provide juicers in high-end stores and allow children to eat after paying, reflecting a preference for industrial food and an immediate access to food. This behavior is perceived as somewhat normative within the sampled population, indicating that a significant portion of the population engages in these practices.",Travel Advising,"A curious and health-conscious American tourist planning a trip to Europe, who is used to the convenience of grocery shopping and eating on the go in the US",I'm planning a trip to Europe soon and I'm a bit worried about navigating the grocery stores there. I'm used to picking up a few snacks or even having a meal while I shop back home. Is there anything I should know about grocery shopping etiquette in Europe? Will I be able to find the same kind of convenience and quick meals I'm used to?
American,in the United States,,,people,"enjoy and consume coffee frequently, often without sugar, and in various settings including driving and walking",,,,Food and Dining,0.8,"[320, 330)","{2021: '[100, 110)', 2022: '[100, 110)', 2023: '[110, 120)'}","In the United States, it is common for people to frequently enjoy and consume coffee, often opting for it without sugar, and incorporating it into various activities such as driving and walking. This widespread coffee culture is deeply ingrained in American society, with coffee serving as a staple beverage in daily routines and social interactions. The normativity of this behavior is widely regarded as high among the sampled population, reflecting the prevalent and accepted nature of coffee consumption in American culture.",Travel Advising,"A first-time visitor from Europe who is a self-proclaimed 'tea person' and has never been to the United States, planning a three-week road trip across the country with a group of friends who are coffee enthusiasts.","I'm about to embark on a road trip across the US with my American friends, and I've noticed that they're all really into coffee. I'm more of a tea person myself, but I don't want to stick out like a sore thumb. Could you give me some tips on how to navigate this coffee-centric culture without feeling left out? Are there any etiquette or customs I should be aware of when it comes to coffee drinking in different settings, like while driving or in social gatherings?"
American,in the United States,,,people and individuals,"engage in and navigate diverse cultural practices, including expressing confusion, appreciation, and correcting cultural norms",,,,Cultural Exchange,0.9,"[310, 320)","{2021: '[60, 70)', 2022: '[130, 140)', 2023: '[110, 120)'}","In the United States, individuals are commonly observed engaging in and navigating diverse cultural practices, which may include expressing confusion, appreciation, and correcting cultural norms. This behavior reflects the American cultural value of embracing and adapting to a wide range of cultural influences and practices. It is widely regarded as a normative behavior by a significant portion of the sampled population. This openness and willingness to engage with diverse cultural practices and norms is a notable aspect of American society, reflecting the country's rich history of immigration and cultural diversity.",Travel Advising,"A curious and open-minded traveler planning a trip to the United States, eager to engage with and understand the country's rich cultural diversity, but also keen on avoiding any potential faux pas or misunderstandings.","I'm planning a trip to the U.S. and I'm really excited to immerse myself in the local culture. I've heard that people there are really welcoming and appreciative of visitors who show interest in their customs. Could you give me some tips on how to navigate the cultural landscape so I can engage with locals in a respectful and curious way? I want to make sure I'm not stepping on any toes, but also want to show my appreciation for the diversity I'll encounter."
American,in the United States,,,people,"have a strong preference for ice in beverages, with varying opinions on its necessity and impact on drink quantity",,,includes a preference for homemade ice for health and taste reasons,Food and Dining,0.9,"[290, 300)","{2021: '[10, 20)', 2022: '[220, 230)', 2023: '[50, 60)'}","In the United States, it is common for people to have a strong preference for including ice in their beverages, although opinions on its necessity and impact on drink quantity vary. This preference extends to a specific inclination towards using homemade ice, driven by concerns related to health and taste. The use of ice in beverages is widely regarded as a normative behavior within the American cultural context, with a significant portion of the sampled population expressing a preference for this practice.",Travel Advising,"A health-conscious traveler planning a trip to the United States, particularly concerned about food and drink choices due to a recent diagnosis of a sensitive digestive condition","I'm about to embark on a trip to the US, and I've been advised to be really careful about what I eat and drink because of a recent digestive issue. I've heard that people there really love their ice in their drinks, but I'm worried about how that might affect my stomach. Could you give me some tips on how to navigate this without offending anyone or standing out too much?"
American,in the United States,,,people,"consume and store milk with specific preferences and practices, including refrigeration and varying shelf life",,,"milk consumption is considered high, with a preference for milk that tastes like real milk",Food and Dining,0.9,"[290, 300)","{2021: '[40, 50)', 2022: '[160, 170)', 2023: '[90, 100)'}","In the United States, it is common for people to have specific preferences and practices when it comes to consuming and storing milk. This includes the widespread practice of refrigerating milk and being mindful of its varying shelf life. The cultural preference for milk that tastes like real milk is also notable, contributing to the high consumption of milk within American society. These practices are widely regarded as the norm by a significant portion of the sampled population, reflecting the prevalent and standard nature of these behaviors within American culture.",Travel Advising,"A European traveler planning a trip to the United States, who is used to drinking fresh milk and has never been to the US before","I'm planning a trip to the US for the first time and I'm a bit confused about the milk situation. I've heard that Americans drink a lot of milk, but I'm not sure if there are any specific things I should know about how it's stored or how long it lasts. Could you give me some tips on how to navigate the dairy aisle and make sure I'm getting the best milk for my tastes?"
American,in the United States,,,people,"display the American flag proudly and frequently, often in unconventional ways, reflecting patriotism and prioritizing comfort",,,,Community and Identity,1,"[280, 290)","{2021: '[0, 10)', 2022: '[240, 250)', 2023: '[30, 40)'}","In the United States, it is common for people to proudly and frequently display the American flag, often in unconventional ways, as a reflection of their patriotism and a symbol of prioritizing comfort. This behavior is widely regarded as normative among a significant portion of the sampled population. The flag serves as a visible representation of national pride and identity, and its display in various settings is considered a customary practice. This demonstration of patriotism through the frequent and proud display of the American flag is highly prevalent within the cultural context of the United States.",Travel Advising,"An international student planning a visit to the United States for a summer program, keen on understanding the local customs and avoiding any potential cultural faux pas","I'm getting ready for a summer program in the U.S., and I'm really excited to learn about American culture. I've noticed that people seem to be really proud of their country, and I've seen flags everywhere. I want to make sure I'm respectful and understand what's considered normal behavior. Could you give me some tips on how to navigate these cultural nuances when I'm there? I want to make sure I'm fitting in and not causing any offense."
American,in the United States,,,"people, including civilians and individuals","own, carry, and purchase guns, often for protection and hunting, with legal rights and a wide selection in stores",,,gun ownership is considered normal and protected by the Second Amendment,Miscellaneous,0.8,"[270, 280)","{2021: '[40, 50)', 2022: '[130, 140)', 2023: '[90, 100)'}","In the United States, it is common for individuals, including civilians, to own, carry, and purchase guns, often for purposes of self-protection and hunting. This behavior is supported by legal rights and is facilitated by a wide selection of firearms available in stores. The cultural perception of gun ownership is influenced by the Second Amendment, which protects this right and contributes to the normalization of owning firearms. A significant portion of the sampled population regards gun ownership as a normal and widely accepted practice within American society.",Travel Advising,"A concerned parent planning a family trip to the United States, particularly interested in understanding the safety measures and precautions for their children during their stay",I'm planning a family trip to the U.S. and I'm really keen on making sure our kids are safe. We're not used to the idea of people carrying guns around. Could you give me some advice on how to navigate this new environment? What should we keep in mind to ensure our children's safety and peace of mind during our stay?
American,"in various dining settings including diners, buffets, and fast food restaurants",to get free refills,customer to service staff,servers and customers,"servers offer free refills, customers expect and ask for them, and sometimes complain when not provided",customers and coffee shop staff,provide refills,"free refills are common for water and soft drinks, but not for alcohol or smoothies",Drinking and Alcohol,0.8,"[250, 260)","{2021: '[140, 150)', 2022: '[50, 60)', 2023: '[50, 60)'}","In various dining settings such as diners, buffets, and fast food restaurants within American culture, it is customary for servers to offer free refills of water and soft drinks to customers. Customers not only expect these refills but also may ask for them, and at times express dissatisfaction if they are not provided. This behavior is considered a normative practice within the sampled population, with around four-fifths of the population agreeing that it is common. Additionally, it is important to note that while free refills are standard for water and soft drinks, they are not typically offered for alcoholic beverages or smoothies within this cultural context. This practice reflects the cultural expectation of generous and attentive service in dining establishments.",Travel Advising,"A budget-conscious European tourist planning a trip to the United States, eager to explore the local food scene but worried about staying hydrated and keeping costs down during their visit.","I'm planning my first trip to the US and I'm really excited to try out all the local foods, but I'm also trying to be mindful of my budget. I've heard that it's really common to eat out a lot there, and I'm worried about the cost of drinks, especially water. Could you give me some tips on how to navigate the dining scene in the States without breaking the bank? Are there any places or strategies you'd recommend for staying hydrated without spending too much?"
American,in the United States,,,people,"consume and prefer beer, often complaining about prices and availability",,,perception of alcohol consumption varies,Drinking and Alcohol,0.8,"[250, 260)","{2021: '[40, 50)', 2022: '[130, 140)', 2023: '[70, 80)'}","In the United States, it is common for people to consume and favor beer, often expressing dissatisfaction with prices and availability. The perception of alcohol consumption varies within American culture, with beer being a prominent choice for many individuals. This behavior is widely regarded as a normative aspect of American social life, with a significant portion of the sampled population agreeing that beer consumption and the associated complaints about prices and availability are commonplace.",Travel Advising,"A savvy and thrifty beer enthusiast from Europe, planning a trip to the US to attend a major beer festival, aiming to explore the local beer culture while keeping costs under control","I'm a big beer fan planning to attend this famous beer festival in the US. I've heard that the local beer scene is amazing, but I'm a bit worried about the cost. I'm used to paying a certain price for my favorite brews back home. What should I expect when it comes to the prices and availability of beer in the US? Are there any tips for navigating the beer scene without breaking the bank?"
American,"various settings including the United States, international schools, and the UK",to communicate effectively,ranges from strangers to romantic partners,people,"speak with a distinct American accent, often perceived as attractive",varies from strangers to romantic partners,may have difficulty understanding the accent,accent may change over time or in different contexts,Communication and Language,0.8,"[240, 250)","{2021: '[60, 70)', 2022: '[70, 80)', 2023: '[100, 110)'}","In various settings including the United States, international schools, and the UK, it is common for people of the American cultural group to speak with a distinct American accent, which is often perceived as attractive. The goal of this behavior is to effectively communicate, but recipients, ranging from strangers to romantic partners, may encounter difficulty in understanding the accent. Additionally, it is noted that the accent may change over time or in different contexts. This distinct American accent is widely regarded as a normative and standard way of speaking within the sampled population, with a significant portion finding it attractive and associated with effective communication.",Travel Advising,"A globetrotting entrepreneur from Europe, planning to expand his business to the US and seeking to better understand the local business culture","I'm gearing up to launch my business in the US and I've noticed that my American partners and clients have a very distinctive way of communicating. I'm curious, how can I effectively adapt my communication style to ensure that our business dealings are as smooth as possible? I want to make sure I'm not only understood, but also appreciated for my ability to connect with people."
American,in the United States and occasionally abroad,,,women,"prefer and use tampons, including those without applicators, for menstrual hygiene",,,tampons are sometimes preferred over pads and are sold with or without applicators in various locations,Health and Hygiene,0.9,"[240, 250)","{2021: '[60, 70)', 2022: '[120, 130)', 2023: '[40, 50)'}","In the United States and occasionally abroad, it is common for women to prefer and use tampons, including those without applicators, for menstrual hygiene. This preference for tampons over pads is widespread, and they are available with or without applicators in various locations. The use of tampons, including those without applicators, is highly prevalent and widely regarded as the standard practice among a significant portion of the sampled population.",Travel Advising,"A globetrotting, eco-conscious woman from the US, planning a trip to a foreign country where she wants to maintain her sustainable lifestyle and personal hygiene habits","I'm planning a trip to [foreign country], and I'm really committed to maintaining my eco-friendly lifestyle. I've always been a tampon user back home, but I'm not sure if it's the norm or even available there. I'd love some advice on how to navigate my personal hygiene in a way that's both sustainable and respectful to the local culture. What should I know or consider before I go?"
American,child-rearing and potty training,potty train children,parent-child and grandparent-child,parents and grandparents,"engage in potty training, often with varying approaches and pressures",children,resist or adapt to potty training,"influenced by family and societal pressures, with varying ages for potty training",Family Dynamics,1,"[240, 250)","{2022: '[240, 250)'}","In American child-rearing and potty training, parents and grandparents engage in the process with varying approaches and pressures, influenced by family and societal expectations. The goal is to potty train children, who may resist or adapt to the training based on individual circumstances. The age at which potty training occurs also varies within the cultural group. This behavior is widely regarded as a normative practice within the sampled population, indicating a high level of consensus on the importance and necessity of potty training in American child-rearing.",Travel Advising,A puzzled Australian expat who has recently moved to the US with her toddler and is struggling to understand the local expectations around potty training,"I've just moved to the States with my little one and I've noticed that there seems to be a lot of different approaches to potty training here. I'm used to a more laid-back approach, but it seems like everyone here has their own methods and timelines. Could you give me some advice on navigating these cultural differences and finding the right balance for my family?"
American,"various settings including public, college, workplace, and the United States",express gratitude and appreciation,employee to employer and speaker to audience,people and individuals,express gratitude,employer and audience,show appreciation,scarcity breeds gratitude; often expressed in response to good pay and sunshine,Social Norms and Etiquette,1,"[230, 240)","{2021: '[20, 30)', 2022: '[60, 70)', 2023: '[130, 140)'}","In various American settings such as public, college, and the workplace, individuals commonly express gratitude towards their employers and audiences. This behavior is aimed at conveying appreciation and is reciprocated by the recipient showing their own appreciation. Gratitude is often expressed in response to favorable circumstances such as good pay and pleasant weather, reflecting the cultural belief that scarcity breeds gratitude. This practice of expressing gratitude is widely regarded as a normative behavior within the sampled population, indicating that a significant portion of individuals in American culture value and prioritize the act of showing appreciation.",Workplace Integration,"A newly immigrated employee working in a bustling American office, eager to make a good impression on their colleagues and supervisors","I've just started my new job in an American office and I'm really enjoying it so far. I've noticed that my colleagues and boss seem to be really appreciative of the work I've been doing. I'm really grateful for this opportunity, but I'm not sure if it's appropriate to express my gratitude openly. Should I be sending thank you notes or something similar to show my appreciation? How do I navigate this without coming off as too eager or overly formal?"
American,in the United States,,,people,"strive for a healthy diet, often facing challenges due to the high cost and availability of fresh food",,,,Food and Dining,0.6,"[220, 230)","{2021: '[20, 30)', 2022: '[50, 60)', 2023: '[140, 150)'}","In the United States, it is common for people to strive for a healthy diet, despite facing challenges related to the high cost and limited availability of fresh food. This pursuit reflects a widespread desire for wellness and nutrition within American culture. However, due to the difficulties associated with accessing affordable and fresh food options, achieving this goal can be a significant challenge for a considerable portion of the sampled population.",Travel Advising,"A budget-conscious tourist from a rural area in Europe, planning a first-time trip to the United States and eager to maintain their healthy eating habits despite concerns about the cost of food in the cities they'll be visiting.","I'm planning my first trip to the US and I'm a bit worried about the cost of food, especially since I'm used to eating fresh produce and healthy meals back home. I've heard that food in the cities can be quite expensive. Any tips on how to stick to my healthy diet without breaking the bank?"
American,in the United States,,,people and government,"engage in a complex healthcare system with varying levels of affordability and accessibility, often involving taxation and payment for healthcare services",citizens,,concerns about healthcare costs and quality coexist with a preference for the US system over alternatives,Health and Hygiene,0.7,"[220, 230)","{2021: '[60, 70)', 2022: '[100, 110)', 2023: '[50, 60)'}","In the United States, both the government and the citizens engage in a complex healthcare system with varying levels of affordability and accessibility. This system often involves taxation and direct payment for healthcare services. Despite concerns about healthcare costs and quality, there exists a preference for the US healthcare system over alternatives. This preference is influenced by a combination of factors, including cultural attitudes towards individualism and the role of government in healthcare. A significant portion of the sampled population regards this engagement with the healthcare system as a normative aspect of American culture, reflecting the intricate relationship between healthcare, economics, and societal values.",Travel Advising,"A globetrotting consultant from Europe, deeply concerned about the potential financial implications of a medical emergency during their travels in the United States, due to their own personal experiences with the healthcare system back home.","I've been advising clients on travel plans for years, but this time I'm the one planning a trip to the US. I've had some health issues in the past, and I'm a bit worried about the costs of healthcare there. I've heard that it's quite different from what I'm used to back home. Could you give me some tips on how to navigate the US healthcare system without breaking the bank?"
American,in public,,,people,"tend to speak loudly, sometimes perceived as loud or too loud",,,,Communication and Language,0.7,"[220, 230)","{2021: '[90, 100)', 2022: '[70, 80)', 2023: '[50, 60)'}","In public settings within American culture, it is common for people to speak loudly, which can sometimes be perceived as excessive or boisterous by others. This behavior is often noticed in various public spaces and gatherings. While some may view this as a normative aspect of American communication, others may find it to be too loud or assertive. A significant portion of the sampled population agrees that speaking loudly is a common behavior within American culture.",Travel Advising,"A quiet and reserved Canadian businessman planning a business trip to the United States, concerned about adapting to communication styles and avoiding misunderstandings in professional settings","I'm a Canadian heading to the US for a business trip and I've heard that Americans can be quite assertive in their communication. I'm a pretty quiet guy, and I don't want to misinterpret their style or come off as timid. How can I navigate these differences without causing any confusion or offense?"
American,in the United States,,,people and government,"engage in complex taxation practices, including paying various taxes and imposing different rates",,,"includes federal, state, county, and establishment taxes, with varying rates and a fixed federal tax rate",Finance and Economy,0.8,"[210, 220)","{2021: '[20, 30)', 2022: '[90, 100)', 2023: '[90, 100)'}","In the United States, both the people and the government engage in complex taxation practices, involving the payment of various taxes with different rates. This includes federal, state, county, and establishment taxes, each with its own specific rates, alongside a fixed federal tax rate. The intricate taxation system is widely regarded as a normative aspect of American culture, with a significant portion of the sampled population acknowledging and accepting this practice as a standard part of their societal and governmental structure.",Travel Advising,"A globe-trotting entrepreneur from Europe, considering expanding their business into the US market","I'm thinking of opening a branch of my European business in the US, and I've heard that there are quite a few taxes to consider. Could you give me some insight on what kind of financial obligations I might be looking at? I want to make sure I'm prepared for all the costs involved."
